"ID","Imagen","Codidgo","Nombre","Tipo","Categoria","Cantidad","Impuesto","Metodo","Costo","Precio"
"1093","","3051","Cartera Anne Klein 3051 continental wallet black","Standard","General","0.00","0","Inclusivo","408.00","410.00"
"1092","","3050","Cartera Tommy Hilfiger 3050 monograma rojo y blanco","Standard","General","0.00","0","Inclusivo","493.00","500.00"
"1091","","3049","Bolso Michel Kors 3049 Geranium Sullivan small logo top zip","Standard","General","2.00","0","Inclusivo","583.66","900.00"
"1090","","3048","Bolso Clavin Klein 3048 blanco Prism top zip","Standard","General","2.00","0","Inclusivo","583.66","850.00"
"1089","","3047","Bolso Giani Beranini 3047 negro","Standard","General","0.00","0","Inclusivo","583.66","840.00"
"1088","","3046","Bolsa Nine West 3046 Bowie mini top zip","Standard","General","1.00","0","Inclusivo","519.00","520.00"
"1087","","3045","Bolso Anne Klein 3045 Elemental Blue","Standard","General","0.00","0","Inclusivo","544.00","550.00"
"1086","","3044","Bolsa Bernini 3044 Venice Nappa negro","Standard","General","0.00","0","Inclusivo","583.66","685.00"
"1085","","3043","Bolsa Anne Klein 3043 negro top handle Satchel","Standard","General","0.00","0","Inclusivo","544.00","550.00"
"1084","","3042","Bolso steve Madden 3042 Bwebber Pebble black","Standard","General","0.00","0","Inclusivo","583.66","620.00"
"1083","","3041","Bolsa Anne Klein 3041 Structured Satchel","Standard","General","0.00","0","Inclusivo","583.66","620.00"
"1082","","3040","Bolsa Michael Kors 3040 parker medium leatcher negro","Standard","General","0.00","0","Inclusivo","583.66","2,000.00"
"1081","","3039","Bolso Anne Klein 3039 Ziggi negro","Standard","General","0.00","0","Inclusivo","583.66","600.00"
"1080","","3038","Bolsa Anne Klein 3038 negro logo dorado","Standard","General","0.00","0","Inclusivo","583.66","650.00"
"1079","","3037","Bolso INC 3037 Margeaux Gulf coast","Standard","General","0.00","0","Inclusivo","150.00","200.00"
"1078","","3035","Bolsa House 3035 of Harlow 1960","Standard","General","0.00","0","Inclusivo","300.00","350.00"
"1077","","3034","Bolso Anne Klein 3034 Ew Kapitone Naylon crossbody","Standard","General","0.00","0","Inclusivo","583.66","650.00"
"1076","","3033","Bolsa Nautica 3033 cruzado piedra serena beige","Standard","General","0.00","0","Inclusivo","472.00","520.00"
"1075","","3032","Bolso Michael Kors 3032 Leatcher edith extra large open tote","Standard","General","3.00","0","Inclusivo","583.66","850.00"
"1074","","3031","Bolso Radley 3031 london berford row  satchel","Standard","General","0.00","0","Inclusivo","583.66","2,000.00"
"1073","","3030","Bolso Michael Kors 3030 veronica Medium dome satchel","Standard","General","0.00","0","Inclusivo","583.66","900.00"
"1072","","3029","Bolso Skinnydip 3029 Kleeley indigo azul","Standard","General","0.00","0","Inclusivo","316.00","330.00"
"1071","","3028","Bolso Anne Klein 3028 negro","Standard","General","1.00","0","Inclusivo","583.66","620.00"
"1070","","3027","Bolso Radley 3027 london Pocketts 2.0 medium leather-Prairie Pinck","Standard","General","0.00","0","Inclusivo","583.66","1,284.00"
"1069","","3026","Bolso Giani Bernini 3026 nappa leather front zip","Standard","General","0.00","0","Inclusivo","583.66","830.00"
"1068","","3011","Mochila Kipling 3011 Antwerp Belgium-my red palet","Standard","General","5.00","0","Inclusivo","583.66","850.00"
"1067","","3012","Mochila Guess 3012 slig Backpackin black","Standard","General","0.00","0","Inclusivo","583.66","1,300.00"
"1066","","3013","Mochila Lucky Brand 3013 rojo tostada","Standard","General","0.00","0","Inclusivo","583.66","685.00"
"1065","","3014","Mochila Puma 3014 Euercat Rhythm","Standard","General","0.00","0","Inclusivo","340.00","365.00"
"1064","","3015","Mochila Polo 3015 Crest Back pack with branded stap","Standard","General","0.00","0","Inclusivo","583.66","640.00"
"1063","","3016","Mochila Michael Kors 3016 cooper MK logo commuta","Standard","General","0.00","0","Inclusivo","583.66","860.00"
"1062","","3017","Mochila Nautica 3017 beige","Standard","General","0.00","0","Inclusivo","583.66","700.00"
"1061","","3018","Mochila Nautica 3018 Satchel crescendo estampado","Standard","General","0.00","0","Inclusivo","583.66","680.00"
"1060","","1180","Playera Tommy 1180 azul marino letras blancas New York","Standard","General","30.00","0","Inclusivo","149.79","200.00"
"1059","","3019","Mochila Calvin Klein 3019 Jasper Double purpura rosa","Standard","General","0.00","0","Inclusivo","583.66","1,200.00"
"1058","","3020","Mochila Tommy 3020 negro","Standard","General","0.00","0","Inclusivo","583.66","700.00"
"1057","","3021","Bolso Hudson 3021 straw medium","Standard","General","0.00","0","Inclusivo","583.66","2,000.00"
"1056","","3022","Bolso Adidas 3022 originals Puffer Shoper Magic","Standard","General","0.00","0","Inclusivo","383.00","400.00"
"1055","","3023","Bolso Bernini 3023 Saffiano dome Saltchel-black","Standard","General","1.00","0","Inclusivo","583.66","746.00"
"1054","","3024","Bolso de mano INC 3024 Patsy diamond Mesh Frame clutch","Standard","General","0.00","0","Inclusivo","583.00","680.00"
"1053","","3025","Bolsa de mano 3025 AK repeat logo wristlet","Standard","General","0.00","0","Inclusivo","200.00","220.00"
"1052","","20325","pantalon 511 slim negro 20325 TALLA 30X32","Standard","General","0.00","0","Inclusivo","455.00","460.00"
"1051","","20164","pantalon 511 slim negro 20164 32*29","Standard","General","0.00","0","Inclusivo","284.08","460.00"
"1050","","20324","pantalon 505 regular azul claro 20324 36*34","Standard","General","2.00","0","Inclusivo","284.08","450.00"
"1049","","20323","pantalon 505 regular azul claro 20323 36*32","Standard","General","2.00","0","Inclusivo","284.08","450.00"
"1048","","20322","pantalon 505 regular azul claro 20322 36*30","Standard","General","4.00","0","Inclusivo","284.08","450.00"
"1047","","20321","pantalon 505 regular azul claro 20321 36*29","Standard","General","1.00","0","Inclusivo","284.08","450.00"
"1046","","20320","pantalon 505 regular azul claro 20320 32*34","Standard","General","0.00","0","Inclusivo","284.08","450.00"
